date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
2019-01-19 16:13:37,Shini,INTZ,jng,0,2,8,11131,182.0,4.0
2019-01-19 16:13:37,Envy,INTZ,mid,1,1,6,11999,249.0,7.0
2019-01-19 16:13:37,WhiteLotus,INTZ,bot,5,0,2,14105,284.0,inf
2019-01-19 16:13:37,RedBert,INTZ,sup,1,0,6,10208,62.0,inf
2019-01-19 16:13:37,fNb,ProGaming Esports,top,0,0,1,10962,305.0,inf
2019-01-19 16:13:37,Lima,ProGaming Esports,jng,1,3,1,7969,127.0,0.67
2019-01-19 16:13:37,Lynkez,ProGaming Esports,mid,2,4,1,11031,267.0,0.75
2019-01-19 16:13:37,Luskka,ProGaming Esports,bot,0,0,1,9903,227.0,inf
2019-01-19 16:13:37,Wos,ProGaming Esports,sup,0,2,1,6821,47.0,0.5
2019-01-19 16:13:37,,INTZ,team,9,3,26,59828,,11.67
2019-01-19 16:13:37,,ProGaming Esports,team,3,9,5,46686,,0.89
2019-01-19 17:06:17,Fitz,Uppercut esports,top,2,1,2,12015,275.0,4.0
2019-01-19 17:06:17,LeChase,Uppercut esports,jng,2,4,6,10038,157.0,2.0
2019-01-19 17:06:17,Anyyy,Uppercut esports,mid,4,2,4,15662,383.0,4.0
2019-01-19 17:06:17,Alternative,Uppercut esports,bot,1,2,5,13624,319.0,3.0
2019-01-19 17:06:17,Damage,Uppercut esports,sup,0,3,3,9846,69.0,1.0
2019-01-19 17:06:17,Robo,Flamengo Esports,top,1,2,5,11972,270.0,3.0
2019-01-19 17:06:17,Shrimp,Flamengo Esports,jng,0,3,9,10233,165.0,3.0
2019-01-19 17:06:17,Goku,Flamengo Esports,mid,3,2,8,13487,308.0,5.5
2019-01-19 17:06:17,brTT,Flamengo Esports,bot,6,0,4,16806,331.0,inf
2019-01-19 17:06:17,Luci,Flamengo Esports,sup,2,2,7,9161,40.0,4.5
2019-01-19 17:06:17,,Uppercut esports,team,9,12,20,61185,,2.42
2019-01-19 17:06:17,,Flamengo Esports,team,12,9,33,61659,,5.0
2019-01-19 18:11:55,Yang,Vivo Keyd,top,10,0,7,17819,315.0,inf
2019-01-19 18:11:55,Laba,Vivo Keyd,jng,3,2,9,13525,207.0,6.0
2019-01-19 18:11:55,tockers,Vivo Keyd,mid,7,1,10,17290,356.0,17.0
2019-01-19 18:11:55,micaO,Vivo Keyd,bot,4,2,13,15566,292.0,8.5
2019-01-19 18:11:55,Jockster,Vivo Keyd,sup,0,7,15,11579,69.0,2.14
2019-01-19 18:11:55,Zantins,KaBuM! e-Sports,top,5,7,4,14960,321.0,1.29
2019-01-19 18:11:55,Ranger,KaBuM! e-Sports,jng,1,4,5,12942,240.0,1.5
2019-01-19 18:11:55,dyNquedo,KaBuM! e-Sports,mid,1,3,7,11972,268.0,2.67
2019-01-19 18:11:55,TitaN,KaBuM! e-Sports,bot,4,6,7,16541,363.0,1.83
2019-01-19 18:11:55,Riyev,KaBuM! e-Sports,sup,1,4,8,12541,84.0,2.25
2019-01-19 18:11:55,,Vivo Keyd,team,24,12,54,75779,,6.5
2019-01-19 18:11:55,,KaBuM! e-Sports,team,12,24,31,68956,,1.79
2019-01-20 15:00:42,Fitz,Uppercut esports,top,4,0,6,14108,290.0,inf
2019-01-20 15:00:42,LeChase,Uppercut esports,jng,3,0,10,11874,179.0,inf
2019-01-20 15:00:42,Anyyy,Uppercut esports,mid,5,0,7,13614,260.0,inf
2019-01-20 15:00:42,Alternative,Uppercut esports,bot,2,3,10,12198,237.0,4.0
2019-01-20 15:00:42,Damage,Uppercut esports,sup,2,3,9,9447,49.0,3.67
2019-01-20 15:00:42,fNb,ProGaming Esports,top,1,2,3,10602,238.0,2.0
2019-01-20 15:00:42,Leozuxo,ProGaming Esports,jng,0,3,5,8442,148.0,1.67
2019-01-20 15:00:42,Lynkez,ProGaming Esports,mid,3,3,0,11179,269.0,1.0
2019-01-20 15:00:42,Luskka,ProGaming Esports,bot,1,2,4,11327,266.0,2.5
2019-01-20 15:00:42,Wos,ProGaming Esports,sup,1,6,5,7732,46.0,1.0
2019-01-20 15:00:42,,Uppercut esports,team,16,6,42,61241,,9.67
2019-01-20 15:00:42,,ProGaming Esports,team,6,16,17,49282,,1.44
2019-01-20 15:57:29,Nyu,Redemption eSports Porto Alegre,top,2,3,8,15146,324.0,3.33
2019-01-20 15:57:29,Zuao,Redemption eSports Porto Alegre,jng,2,5,8,12733,218.0,2.0
2019-01-20 15:57:29,Krastyel,Redemption eSports Porto Alegre,mid,6,5,6,16261,336.0,2.4
2019-01-20 15:57:29,DudsTheBoy,Redemption eSports Porto Alegre,bot,3,4,7,17908,418.0,2.5
2019-01-20 15:57:29,Ceos,Redemption eSports Porto Alegre,sup,0,4,10,11982,94.0,2.5
2019-01-20 15:57:29,Robo,Flamengo Esports,top,2,4,10,14973,265.0,3.0
2019-01-20 15:57:29,Shrimp,Flamengo Esports,jng,6,2,11,18312,283.0,8.5
2019-01-20 15:57:29,Goku,Flamengo Esports,mid,5,6,11,17472,318.0,2.67
2019-01-20 15:57:29,brTT,Flamengo Esports,bot,6,0,9,21185,455.0,inf
2019-01-20 15:57:29,Luci,Flamengo Esports,sup,2,1,14,11916,24.0,16.0
2019-01-20 15:57:29,,Redemption eSports Porto Alegre,team,13,21,39,74030,,2.48
2019-01-20 15:57:29,,Flamengo Esports,team,21,13,55,83858,,5.85
2019-01-20 17:05:50,Duclou,CNB e-Sports Club,top,4,0,7,14542,272.0,inf
2019-01-20 17:05:50,Yampi,CNB e-Sports Club,jng,7,2,5,13217,189.0,6.0
2019-01-20 17:05:50,Aslan,CNB e-Sports Club,mid,3,2,8,12209,239.0,5.5
2019-01-20 17:05:50,pbO,CNB e-Sports Club,bot,5,1,8,14502,279.0,13.0
2019-01-20 17:05:50,Hawk,CNB e-Sports Club,sup,1,3,12,11662,81.0,4.33
2019-01-20 17:05:50,Zantins,KaBuM! e-Sports,top,2,5,1,9563,202.0,0.6
2019-01-20 17:05:50,Ranger,KaBuM! e-Sports,jng,1,5,3,9880,167.0,0.8
2019-01-20 17:05:50,dyNquedo,KaBuM! e-Sports,mid,2,2,2,11175,253.0,2.0
2019-01-20 17:05:50,TitaN,KaBuM! e-Sports,bot,2,3,4,13822,340.0,2.0
2019-01-20 17:05:50,Riyev,KaBuM! e-Sports,sup,1,5,5,7688,29.0,1.2
2019-01-20 17:05:50,,CNB e-Sports Club,team,20,8,40,66132,,7.5
2019-01-20 17:05:50,,KaBuM! e-Sports,team,8,20,15,52128,,1.15
2019-01-20 18:08:45,Yang,Vivo Keyd,top,5,1,8,17895,339.0,13.0
2019-01-20 18:08:45,Laba,Vivo Keyd,jng,3,3,6,15061,242.0,3.0
2019-01-20 18:08:45,tockers,Vivo Keyd,mid,3,2,8,15359,322.0,5.5
2019-01-20 18:08:45,micaO,Vivo Keyd,bot,4,1,9,18444,372.0,13.0
2019-01-20 18:08:45,Jockster,Vivo Keyd,sup,1,3,9,13307,90.0,3.33
2019-01-20 18:08:45,Tay,INTZ,top,3,4,5,15027,334.0,2.0
2019-01-20 18:08:45,Shini,INTZ,jng,3,3,7,12664,214.0,3.33
2019-01-20 18:08:45,Envy,INTZ,mid,1,2,5,14426,347.0,3.0
2019-01-20 18:08:45,Mills,INTZ,bot,3,3,3,16352,374.0,2.0
2019-01-20 18:08:45,RedBert,INTZ,sup,0,4,7,12272,84.0,1.75
2019-01-20 18:08:45,,Vivo Keyd,team,16,10,40,80066,,5.6
2019-01-20 18:08:45,,INTZ,team,10,16,27,70741,,2.31
2019-01-26 15:27:22,Yang,Vivo Keyd,top,2,2,3,9169,190.0,2.5
2019-01-26 15:27:22,Laba,Vivo Keyd,jng,3,1,9,10594,162.0,12.0
2019-01-26 15:27:22,tockers,Vivo Keyd,mid,5,0,4,11557,211.0,inf
2019-01-26 15:27:22,micaO,Vivo Keyd,bot,4,1,7,11647,203.0,11.0
2019-01-26 15:27:22,Jockster,Vivo Keyd,sup,4,0,9,9766,51.0,inf
2019-01-26 15:27:22,fNb,ProGaming Esports,top,1,3,0,8569,222.0,0.33
2019-01-26 15:27:22,Leozuxo,ProGaming Esports,jng,0,5,1,5895,98.0,0.2
2019-01-26 15:27:22,Lynkez,ProGaming Esports,mid,2,1,0,8605,202.0,2.0
2019-01-26 15:27:22,Luskka,ProGaming Esports,bot,1,5,2,8404,216.0,0.6
2019-01-26 15:27:22,Wos,ProGaming Esports,sup,0,4,3,5320,7.0,0.75
2019-01-26 15:27:22,,Vivo Keyd,team,18,4,32,52733,,12.5
2019-01-26 15:27:22,,ProGaming Esports,team,4,18,6,36793,,0.56
2019-01-26 16:08:42,Nyu,Redemption eSports Porto Alegre,top,3,3,6,16254,344.0,3.0
2019-01-26 16:08:42,Zuao,Redemption eSports Porto Alegre,jng,7,1,6,15638,216.0,13.0
2019-01-26 16:08:42,Krastyel,Redemption eSports Porto Alegre,mid,3,4,7,17671,382.0,2.5
2019-01-26 16:08:42,DudsTheBoy,Redemption eSports Porto Alegre,bot,4,2,5,17895,380.0,4.5
2019-01-26 16:08:42,Ceos,Redemption eSports Porto Alegre,sup,2,3,15,11807,46.0,5.67
2019-01-26 16:08:42,Zantins,KaBuM! e-Sports,top,2,6,3,14860,358.0,0.83
2019-01-26 16:08:42,Ranger,KaBuM! e-Sports,jng,2,3,7,13923,246.0,3.0
2019-01-26 16:08:42,dyNquedo,KaBuM! e-Sports,mid,4,4,3,15583,328.0,1.75
2019-01-26 16:08:42,TitaN,KaBuM! e-Sports,bot,5,3,5,16210,358.0,3.33
2019-01-26 16:08:42,Riyev,KaBuM! e-Sports,sup,0,3,7,12973,88.0,2.33
2019-01-26 16:08:42,,Redemption eSports Porto Alegre,team,19,13,39,79265,,4.46
2019-01-26 16:08:42,,KaBuM! e-Sports,team,13,19,25,73549,,2.0
2019-01-26 17:14:11,Robo,Flamengo Esports,top,4,2,8,11870,224.0,6.0
2019-01-26 17:14:11,Shrimp,Flamengo Esports,jng,6,1,5,12945,229.0,11.0
2019-01-26 17:14:11,Goku,Flamengo Esports,mid,2,2,5,10972,230.0,3.5
2019-01-26 17:14:11,brTT,Flamengo Esports,bot,3,0,4,13301,248.0,inf
2019-01-26 17:14:11,Luci,Flamengo Esports,sup,0,1,10,8061,20.0,10.0
2019-01-26 17:14:11,Tay,INTZ,top,2,3,1,9043,206.0,1.0
2019-01-26 17:14:11,Shini,INTZ,jng,0,4,4,8691,155.0,1.0
2019-01-26 17:14:11,Envy,INTZ,mid,0,2,1,8673,214.0,0.5
2019-01-26 17:14:11,WhiteLotus,INTZ,bot,4,4,1,12275,246.0,1.25
2019-01-26 17:14:11,RedBert,INTZ,sup,0,2,5,6363,9.0,2.5
2019-01-26 17:14:11,,Flamengo Esports,team,15,6,32,57149,,7.83
2019-01-26 17:14:11,,INTZ,team,6,15,12,45045,,1.2
2019-01-26 18:08:19,Duclou,CNB e-Sports Club,top,0,2,4,11117,277.0,2.0
2019-01-26 18:08:19,Yampi,CNB e-Sports Club,jng,2,4,2,11596,210.0,1.0
2019-01-26 18:08:19,Aslan,CNB e-Sports Club,mid,3,1,3,14232,324.0,6.0
2019-01-26 18:08:19,pbO,CNB e-Sports Club,bot,1,1,3,12994,303.0,4.0
2019-01-26 18:08:19,Hawk,CNB e-Sports Club,sup,0,3,4,9665,60.0,1.33
2019-01-26 18:08:19,Fitz,Uppercut esports,top,2,1,6,15861,327.0,8.0
2019-01-26 18:08:19,LeChase,Uppercut esports,jng,2,1,8,12184,179.0,10.0
2019-01-26 18:08:19,Anyyy,Uppercut esports,mid,5,1,5,17457,395.0,10.0
2019-01-26 18:08:19,Alternative,Uppercut esports,bot,2,1,6,13629,295.0,8.0
2019-01-26 18:08:19,Damage,Uppercut esports,sup,0,2,10,11326,67.0,5.0
2019-01-26 18:08:19,,CNB e-Sports Club,team,6,11,16,59604,,2.0
2019-01-26 18:08:19,,Uppercut esports,team,11,6,35,70457,,7.67
2019-01-27 14:59:31,Tay,INTZ,top,0,2,6,14220,285.0,3.0
2019-01-27 14:59:31,Shini,INTZ,jng,5,6,7,17745,321.0,2.0
2019-01-27 14:59:31,Envy,INTZ,mid,6,3,5,17355,338.0,3.67
2019-01-27 14:59:31,Mills,INTZ,bot,5,2,5,19231,373.0,5.0
2019-01-27 14:59:31,RedBert,INTZ,sup,0,1,9,15614,119.0,9.0
2019-01-27 14:59:31,Zantins,KaBuM! e-Sports,top,4,4,3,16929,343.0,1.75
2019-01-27 14:59:31,Ranger,KaBuM! e-Sports,jng,6,4,7,14854,217.0,3.25
2019-01-27 14:59:31,dyNquedo,KaBuM! e-Sports,mid,1,2,9,14743,315.0,5.0
2019-01-27 14:59:31,TitaN,KaBuM! e-Sports,bot,3,3,3,17936,422.0,2.0
2019-01-27 14:59:31,Riyev,KaBuM! e-Sports,sup,0,3,9,12442,78.0,3.0
2019-01-27 14:59:31,,INTZ,team,16,14,32,84165,,3.43
2019-01-27 14:59:31,,KaBuM! e-Sports,team,14,16,31,76904,,2.81
2019-01-27 16:08:36,Duclou,CNB e-Sports Club,top,2,5,8,14840,273.0,2.0
2019-01-27 16:08:36,Yampi,CNB e-Sports Club,jng,3,4,10,14221,237.0,3.25
2019-01-27 16:08:36,Aslan,CNB e-Sports Club,mid,5,2,6,17911,338.0,5.5
2019-01-27 16:08:36,pbO,CNB e-Sports Club,bot,4,6,9,13790,263.0,2.17
2019-01-27 16:08:36,Hawk,CNB e-Sports Club,sup,0,6,6,12206,82.0,1.0
2019-01-27 16:08:36,fNb,ProGaming Esports,top,7,3,14,16647,277.0,7.0
2019-01-27 16:08:36,Lima,ProGaming Esports,jng,4,4,14,15145,233.0,4.5
2019-01-27 16:08:36,Lynkez,ProGaming Esports,mid,2,2,14,16211,349.0,8.0
2019-01-27 16:08:36,Luskka,ProGaming Esports,bot,10,2,11,20051,334.0,10.5
2019-01-27 16:08:36,Wos,ProGaming Esports,sup,0,3,21,13144,88.0,7.0
2019-01-27 16:08:36,,CNB e-Sports Club,team,14,23,39,72968,,2.3
2019-01-27 16:08:36,,ProGaming Esports,team,23,14,74,81198,,6.93
2019-01-27 17:19:15,Robo,Flamengo Esports,top,4,1,11,11106,206.0,15.0
2019-01-27 17:19:15,Shrimp,Flamengo Esports,jng,2,1,13,10651,167.0,15.0
2019-01-27 17:19:15,Goku,Flamengo Esports,mid,4,0,10,12373,261.0,inf
2019-01-27 17:19:15,brTT,Flamengo Esports,bot,5,0,7,13540,278.0,inf
2019-01-27 17:19:15,Luci,Flamengo Esports,sup,3,0,11,10663,67.0,inf
2019-01-27 17:19:15,Yang,Vivo Keyd,top,1,4,0,10689,257.0,0.25
2019-01-27 17:19:15,Laba,Vivo Keyd,jng,0,3,1,8131,150.0,0.33
2019-01-27 17:19:15,tockers,Vivo Keyd,mid,0,3,2,9747,253.0,0.67
2019-01-27 17:19:15,micaO,Vivo Keyd,bot,1,4,1,10348,250.0,0.5
2019-01-27 17:19:15,Jockster,Vivo Keyd,sup,0,4,2,7917,54.0,0.5
2019-01-27 17:19:15,,Flamengo Esports,team,18,2,52,58333,,35.0
2019-01-27 17:19:15,,Vivo Keyd,team,2,18,6,46832,,0.44
2019-01-27 18:22:59,Nyu,Redemption eSports Porto Alegre,top,0,4,1,7464,169.0,0.25
2019-01-27 18:22:59,Zuao,Redemption eSports Porto Alegre,jng,2,5,2,7846,130.0,0.8
2019-01-27 18:22:59,Krastyel,Redemption eSports Porto Alegre,mid,2,2,1,10443,275.0,1.5
2019-01-27 18:22:59,DudsTheBoy,Redemption eSports Porto Alegre,bot,1,5,2,9030,206.0,0.6
2019-01-27 18:22:59,Ceos,Redemption eSports Porto Alegre,sup,0,6,4,6338,43.0,0.67
2019-01-27 18:22:59,Fitz,Uppercut esports,top,3,1,5,12389,266.0,8.0
2019-01-27 18:22:59,LeChase,Uppercut esports,jng,6,1,7,10400,138.0,13.0
2019-01-27 18:22:59,Anyyy,Uppercut esports,mid,5,0,4,11816,265.0,inf
2019-01-27 18:22:59,Alternative,Uppercut esports,bot,7,1,8,14113,272.0,15.0
2019-01-27 18:22:59,Damage,Uppercut esports,sup,1,2,13,9623,55.0,7.0
2019-01-27 18:22:59,,Redemption eSports Porto Alegre,team,5,22,10,41121,,0.68
2019-01-27 18:22:59,,Uppercut esports,team,22,5,37,58341,,11.8
2019-02-02 14:53:57,Robo,Flamengo Esports,top,3,4,13,14258,294.0,4.0
2019-02-02 14:53:57,Shrimp,Flamengo Esports,jng,5,2,10,13673,224.0,7.5
2019-02-02 14:53:57,Goku,Flamengo Esports,mid,5,1,10,15295,317.0,15.0
2019-02-02 14:53:57,brTT,Flamengo Esports,bot,7,0,9,16344,321.0,inf
2019-02-02 14:53:57,Luci,Flamengo Esports,sup,0,2,16,9746,70.0,8.0
2019-02-02 14:53:57,Duclou,CNB e-Sports Club,top,1,4,3,11263,241.0,1.0
2019-02-02 14:53:57,Yampi,CNB e-Sports Club,jng,1,5,2,10541,177.0,0.6
2019-02-02 14:53:57,Aslan,CNB e-Sports Club,mid,3,4,3,13366,307.0,1.5
2019-02-02 14:53:57,pbO,CNB e-Sports Club,bot,3,2,5,15851,363.0,4.0
2019-02-02 14:53:57,Hawk,CNB e-Sports Club,sup,1,5,6,11138,75.0,1.4
2019-02-02 14:53:57,,Flamengo Esports,team,20,9,58,69316,,8.67
2019-02-02 14:53:57,,CNB e-Sports Club,team,9,20,19,62159,,1.4
2019-02-02 16:11:20,Tay,INTZ,top,3,2,4,13479,276.0,3.5
2019-02-02 16:11:20,Shini,INTZ,jng,3,3,5,12185,206.0,2.67
2019-02-02 16:11:20,Envy,INTZ,mid,4,1,3,12446,266.0,7.0
2019-02-02 16:11:20,WhiteLotus,INTZ,bot,1,4,3,13197,315.0,1.0
2019-02-02 16:11:20,RedBert,INTZ,sup,0,3,5,10858,87.0,1.67
2019-02-02 16:11:20,Fitz,Uppercut esports,top,3,6,2,15865,327.0,0.83
2019-02-02 16:11:20,LeChase,Uppercut esports,jng,0,1,8,11880,200.0,8.0
2019-02-02 16:11:20,Anyyy,Uppercut esports,mid,2,1,7,13843,280.0,9.0
2019-02-02 16:11:20,Alternative,Uppercut esports,bot,8,1,4,17014,323.0,12.0
2019-02-02 16:11:20,Damage,Uppercut esports,sup,0,2,11,10938,70.0,5.5
2019-02-02 16:11:20,,INTZ,team,11,13,20,62165,,2.38
2019-02-02 16:11:20,,Uppercut esports,team,13,11,32,69540,,4.09
2019-02-02 17:17:10,fNb,ProGaming Esports,top,1,1,2,10073,237.0,3.0
2019-02-02 17:17:10,Lima,ProGaming Esports,jng,1,2,1,9031,139.0,1.0
2019-02-02 17:17:10,Lynkez,ProGaming Esports,mid,1,1,1,9525,229.0,2.0
2019-02-02 17:17:10,Luskka,ProGaming Esports,bot,1,1,2,10657,256.0,3.0
2019-02-02 17:17:10,Wos,ProGaming Esports,sup,0,2,2,6121,26.0,1.0
2019-02-02 17:17:10,Zantins,KaBuM! e-Sports,top,1,1,2,12001,268.0,3.0
2019-02-02 17:17:10,Ranger,KaBuM! e-Sports,jng,1,0,1,11488,212.0,inf
2019-02-02 17:17:10,dyNquedo,KaBuM! e-Sports,mid,2,1,1,13171,282.0,3.0
2019-02-02 17:17:10,TitaN,KaBuM! e-Sports,bot,2,1,3,14433,315.0,5.0
2019-02-02 17:17:10,Riyev,KaBuM! e-Sports,sup,1,1,4,7880,12.0,5.0
2019-02-02 17:17:10,,ProGaming Esports,team,4,7,8,45407,,1.71
2019-02-02 17:17:10,,KaBuM! e-Sports,team,7,4,11,58973,,4.5
2019-02-02 18:08:00,Nyu,Redemption eSports Porto Alegre,top,5,2,14,19172,334.0,9.5
2019-02-02 18:08:00,Zuao,Redemption eSports Porto Alegre,jng,7,3,11,18852,260.0,6.0
2019-02-02 18:08:00,Krastyel,Redemption eSports Porto Alegre,mid,1,3,16,16469,309.0,5.67
2019-02-02 18:08:00,DudsTheBoy,Redemption eSports Porto Alegre,bot,10,5,10,23131,407.0,4.0
2019-02-02 18:08:00,Ceos,Redemption eSports Porto Alegre,sup,2,6,20,12126,21.0,3.67
2019-02-02 18:08:00,Yang,Vivo Keyd,top,4,4,8,16902,319.0,3.0
2019-02-02 18:08:00,Laba,Vivo Keyd,jng,0,6,13,13779,207.0,2.17
2019-02-02 18:08:00,tockers,Vivo Keyd,mid,9,6,7,19291,335.0,2.67
2019-02-02 18:08:00,micaO,Vivo Keyd,bot,6,1,6,20297,377.0,12.0
2019-02-02 18:08:00,Jockster,Vivo Keyd,sup,0,8,13,13614,76.0,1.62
2019-02-02 18:08:00,,Redemption eSports Porto Alegre,team,25,19,71,89750,,5.05
2019-02-02 18:08:00,,Vivo Keyd,team,19,25,47,83883,,2.64
2019-02-03 15:06:45,Zantins,KaBuM! e-Sports,top,3,5,10,13036,256.0,2.6
2019-02-03 15:06:45,Ranger,KaBuM! e-Sports,jng,6,1,10,13490,189.0,16.0
2019-02-03 15:06:45,dyNquedo,KaBuM! e-Sports,mid,8,1,4,15336,271.0,12.0
2019-02-03 15:06:45,TitaN,KaBuM! e-Sports,bot,2,4,15,14678,310.0,4.25
2019-02-03 15:06:45,Riyev,KaBuM! e-Sports,sup,2,3,11,12111,79.0,4.33
2019-02-03 15:06:45,Robo,Flamengo Esports,top,7,5,3,14151,263.0,2.0
2019-02-03 15:06:45,Shrimp,Flamengo Esports,jng,3,4,3,12578,213.0,1.5
2019-02-03 15:06:45,Goku,Flamengo Esports,mid,1,3,6,12079,247.0,2.33
2019-02-03 15:06:45,brTT,Flamengo Esports,bot,2,6,8,13913,293.0,1.67
2019-02-03 15:06:45,Luci,Flamengo Esports,sup,1,3,8,8673,22.0,3.0
2019-02-03 15:06:45,,KaBuM! e-Sports,team,21,14,50,68651,,5.07
2019-02-03 15:06:45,,Flamengo Esports,team,14,21,28,61394,,2.0
2019-02-03 16:02:37,Nyu,Redemption eSports Porto Alegre,top,2,0,9,12371,239.0,inf
2019-02-03 16:02:37,Zuao,Redemption eSports Porto Alegre,jng,4,3,10,12566,181.0,4.67
2019-02-03 16:02:37,Krastyel,Redemption eSports Porto Alegre,mid,4,1,11,16862,372.0,15.0
2019-02-03 16:02:37,DudsTheBoy,Redemption eSports Porto Alegre,bot,8,2,3,17072,335.0,5.5
2019-02-03 16:02:37,Ceos,Redemption eSports Porto Alegre,sup,0,2,15,8691,19.0,7.5
2019-02-03 16:02:37,fNb,ProGaming Esports,top,4,5,2,13255,305.0,1.2
2019-02-03 16:02:37,Lima,ProGaming Esports,jng,1,5,3,9193,147.0,0.8
2019-02-03 16:02:37,Lynkez,ProGaming Esports,mid,1,2,4,11598,281.0,2.5
2019-02-03 16:02:37,Luskka,ProGaming Esports,bot,2,2,3,15752,353.0,2.5
2019-02-03 16:02:37,Wos,ProGaming Esports,sup,0,4,5,6614,20.0,1.25
2019-02-03 16:02:37,,Redemption eSports Porto Alegre,team,18,8,48,67562,,8.25
2019-02-03 16:02:37,,ProGaming Esports,team,8,18,17,56412,,1.39
2019-02-03 17:02:25,Fitz,Uppercut esports,top,2,3,3,11830,271.0,1.67
2019-02-03 17:02:25,LeChase,Uppercut esports,jng,5,2,3,11622,166.0,4.0
2019-02-03 17:02:25,Anyyy,Uppercut esports,mid,2,3,2,12393,306.0,1.33
2019-02-03 17:02:25,Alternative,Uppercut esports,bot,1,4,6,13337,321.0,1.75
2019-02-03 17:02:25,Damage,Uppercut esports,sup,0,2,7,9895,69.0,3.5
2019-02-03 17:02:25,Yang,Vivo Keyd,top,6,3,5,15762,310.0,3.67
2019-02-03 17:02:25,Laba,Vivo Keyd,jng,1,1,7,11605,208.0,8.0
2019-02-03 17:02:25,tockers,Vivo Keyd,mid,6,1,5,15218,313.0,11.0
2019-02-03 17:02:25,micaO,Vivo Keyd,bot,1,0,9,15071,351.0,inf
2019-02-03 17:02:25,Jockster,Vivo Keyd,sup,0,5,12,11500,80.0,2.4
2019-02-03 17:02:25,,Uppercut esports,team,10,14,21,59077,,2.21
2019-02-03 17:02:25,,Vivo Keyd,team,14,10,38,69156,,5.2
2019-02-03 18:10:12,Duclou,CNB e-Sports Club,top,2,3,1,10168,212.0,1.0
2019-02-03 18:10:12,Yampi,CNB e-Sports Club,jng,0,5,2,8117,134.0,0.4
2019-02-03 18:10:12,Aslan,CNB e-Sports Club,mid,2,2,2,11126,256.0,2.0
2019-02-03 18:10:12,pbO,CNB e-Sports Club,bot,0,1,2,11178,272.0,2.0
2019-02-03 18:10:12,Hawk,CNB e-Sports Club,sup,0,2,2,8225,56.0,1.0
2019-02-03 18:10:12,Tay,INTZ,top,2,2,8,10243,201.0,5.0
2019-02-03 18:10:12,Shini,INTZ,jng,1,0,5,10670,195.0,inf
2019-02-03 18:10:12,Envy,INTZ,mid,4,0,5,13617,295.0,inf
2019-02-03 18:10:12,Mills,INTZ,bot,5,1,6,13132,249.0,11.0
2019-02-03 18:10:12,RedBert,INTZ,sup,1,1,9,11060,75.0,10.0
2019-02-03 18:10:12,,CNB e-Sports Club,team,4,13,9,48814,,1.0
2019-02-03 18:10:12,,INTZ,team,13,4,33,58722,,11.5
2019-02-09 15:03:46,Tay,INTZ,top,3,1,9,15325,297.0,12.0
2019-02-09 15:03:46,Shini,INTZ,jng,6,2,7,15294,199.0,6.5
2019-02-09 15:03:46,Envy,INTZ,mid,3,1,9,16852,371.0,12.0
2019-02-09 15:03:46,Mills,INTZ,bot,3,1,9,16921,366.0,12.0
2019-02-09 15:03:46,RedBert,INTZ,sup,3,1,8,15735,113.0,11.0
2019-02-09 15:03:46,Nyu,Redemption eSports Porto Alegre,top,1,1,4,14362,307.0,5.0
2019-02-09 15:03:46,Zuao,Redemption eSports Porto Alegre,jng,1,4,4,10862,176.0,1.25
2019-02-09 15:03:46,Krastyel,Redemption eSports Porto Alegre,mid,1,5,2,13956,336.0,0.6
2019-02-09 15:03:46,DudsTheBoy,Redemption eSports Porto Alegre,bot,3,2,2,16694,364.0,2.5
2019-02-09 15:03:46,Ceos,Redemption eSports Porto Alegre,sup,0,6,3,7639,13.0,0.5
2019-02-09 15:03:46,,INTZ,team,18,6,42,80127,,10.0
2019-02-09 15:03:46,,Redemption eSports Porto Alegre,team,6,18,15,63513,,1.17
2019-02-09 16:07:47,Duclou,CNB e-Sports Club,top,0,5,5,12807,283.0,1.0
2019-02-09 16:07:47,Yampi,CNB e-Sports Club,jng,1,2,4,11887,182.0,2.5
2019-02-09 16:07:47,Aslan,CNB e-Sports Club,mid,2,1,3,13985,280.0,5.0
2019-02-09 16:07:47,pbO,CNB e-Sports Club,bot,2,1,5,14993,326.0,7.0
2019-02-09 16:07:47,Hawk,CNB e-Sports Club,sup,3,2,5,13086,82.0,4.0
2019-02-09 16:07:47,Yang,Vivo Keyd,top,3,1,7,14557,290.0,10.0
2019-02-09 16:07:47,Laba,Vivo Keyd,jng,2,2,3,12331,209.0,2.5
2019-02-09 16:07:47,tockers,Vivo Keyd,mid,2,1,4,14642,340.0,6.0
2019-02-09 16:07:47,micaO,Vivo Keyd,bot,4,2,4,16067,380.0,4.0
2019-02-09 16:07:47,Jockster,Vivo Keyd,sup,0,3,10,11388,75.0,3.33
2019-02-09 16:07:47,,CNB e-Sports Club,team,8,11,22,66758,,2.73
2019-02-09 16:07:47,,Vivo Keyd,team,11,9,28,68985,,4.33
2019-02-09 17:15:03,Zantins,KaBuM! e-Sports,top,5,2,11,19521,390.0,8.0
2019-02-09 17:15:03,Ranger,KaBuM! e-Sports,jng,4,5,11,14523,218.0,3.0
2019-02-09 17:15:03,dyNquedo,KaBuM! e-Sports,mid,4,4,6,16354,360.0,2.5
2019-02-09 17:15:03,TitaN,KaBuM! e-Sports,bot,6,5,6,17180,357.0,2.4
